AuthorID,Author,Date,Content,Attachments,Reactions
"472133643708530689","dolivent","2024-01-13T14:56:29.8940000+08:00","","",""
"472133643708530689","dolivent","2024-01-13T15:51:21.1280000+08:00","__**Week 1 **__ week of 1/1/2024 (+15,310)

__**Week 2 **__ week of 8/1/2024 (+123,655)
1. Monday 8th https://discord.com/channels/1059089071932190750/1194501783486222337/1194505257443659797 started with a strong candle on the indexes, on low breadth (stockbee MM 434 reading, 800-1000+ is better)
- the best breakouts for the day were NVDA & SMCI with strong breadth in __semis__. This was great confirmation since semis lead growth. __Biotechs __also had a good day with LABU strong and individual stocks like VKTX VERA NKTX ARDX breaking out. __Cloud __names were also strong with CRWD ZS PANW. __BTC__ was also in play all week with BITO breaking out and MARA being the stock to watch. 
2. Tuesday 9th https://discord.com/channels/1059089071932190750/1194501783486222337/1194832052831395950 offer a great entry on urnaium names URNM UEC and CCJ. other than that, it was a low liquidity day possibly in anticipation of CPI in comming days. We also saw U retrace its breakout on news of 25% staff cuts, but this did not proliferate. 
3. Wednesday 10th https://discord.com/channels/1059089071932190750/1194501783486222337/1194832052831395950 we started seeing EPs start coming through. WDFC (3min ORH) & ISRG (intraday 12:03pm or 12:33pm) . META MSFT breakouts. MARA had a pullback buy. 
4. Thursday 11th https://discord.com/channels/1059089071932190750/1194501783486222337/1195198854946115634 was a low breadth day with only ZIM showing up on 1day gainer scan. DOCU also made asubstantial move with activist news. TME also broke out of a large cup with handle with strength in China names. MARA also broke out, then failed dramatically.","",""
"472133643708530689","dolivent","2024-01-13T15:51:24.8320000+08:00","5.  Friday 12th. https://discord.com/channels/1059089071932190750/1194501783486222337/1195589326994685993 UEC NXE URNM CCC gap ups. MSOS breakout, EDU b/o, ALT b/o. With all the major economic numbers out of the way CPI PPI, we now seem to be in a chop zone where we are working off the 3 day momentum burst. Economic numbers seem to have less effect on the market now.

It was an unusual week where the first __3 days all offered opportunities__. That is not what im used to, with usually the first day of breakouts after a pullback being the best while others suffer. that being said, __we got growth, then comod, then China which are all different sectors__.  I would say NVDA SMCI LABU VKTX ARDX CRWS PANW UEC, then UEC again on the EP, MARA, then MARA Short, MSOS.
.

**Major lessons:** https://discord.com/channels/1059089071932190750/1194501783486222337/1195207206086385755
This week was a big week for learning. I started to journal more and also restarted my trading study. Major lessons include
1. Deeper understanding of the ""price cycle"" from rewarching Oliver Kell's tradelion course. In particular, session 4 on selling. Understanding that the same behavior early in the move will mean the exact opposite when the move is in later stages e.g leg 3. example is how gap up breakouts should be treated as well as extensions from the MAs. One thing to note going forward is that mixing development and execution periods is tricky since it may make you too bullish or bearish. 
2. The importance of selling into strength when you are on margin. important to get off margin on first 3-5 days down to position trade size.","",""
"472133643708530689","dolivent","2024-01-13T16:09:15.6030000+08:00","3. Having a gameplan for both bullish and bearish scenarios, both in daily pre market watchist, but also for stocks you are managing. It pays to go to extreems because when those things actually happen, its when you will be most flustered and subject to spiraling mistakes like revenge trading (MARA) as well as missing other oportunities (TAL). My major mistake this week, was going in with too much of a bias either way. This affects my analysis before market open, as well as execution on open.

**Strategy Updates:** https://discord.com/channels/1059089071932190750/1194501783486222337/1195617926905086012
I am finally seeing some success with my strategy after making some tweaks and reflecting more as life quietens down (finally):
1. confluence of Study (reviewing Kells price cyle work, noting nuances at dif stages of price cycle and annotating current charts, implementing pullback buys)
2. refined stock selection (via process, journaling best movers/backwatchlist), 
3. refined SA (via process Trade ideas and price cycle, spotting day 1 vs waiting for confirmation ie buying pullback confirmation and buying first EPs when they show up), 
4. discipline (implementing more extreme rules when markets arent in my favour ie *retirement* without chaning my underlying tendancy to overtrade)
5. last but not least, ability to cope much better after taking a bad beat and bouncing back (not sure how this happened but it was very hard, felt very bad and still does)","",""
"472133643708530689","dolivent","2024-01-13T16:34:32.7150000+08:00","https://github.com/JohanLarsson/Snappy.Docs/blob/main/Tp2.md
.












.","",""
"472133643708530689","dolivent","2024-01-21T13:29:30.1710000+08:00","__**Week 3 **__ week of 15/1/2024 (+39,978)","",""
"472133643708530689","dolivent","2024-01-21T13:51:53.3210000+08:00","1. Tuesday 16th https://discord.com/channels/1059089071932190750/1194501783486222337/1197037877327036496 first day of the week after MLK day. Things not really working. Stopped out repeatedly during last 2 days of the previous week. There were many opportunities but my execution/focus was off.  DWAC PHUN pump. Money clearly flowing in to large caps, out of IWM. Only sectors remaining were SMH and XBI holding up. XBI undercut and reclaimed 20ma. Semis and large caps on thing holding the market up. Strength identified went up if was related to tech and large cap (20bill+). Short ideas mixed but most went sideways.  Was very unsure going into next day.
2. Wednesday 17th https://discord.com/channels/1059089071932190750/1194501783486222337/1197404590744797194. XBI lost 20 day. 3 days of selling on indexes (Thurs Fri Tues, corresponding to when b/o stopped worknig). I missed this in my market prep. SMCI undercut the 20ma and there was an entry there. DDOG broke out but was low conviction. new highs and lows were equally matched on open https://discord.com/channels/1059089071932190750/1194501783486222337/1197196005880369202in but both fell, then selling quickly took over https://discord.com/channels/1059089071932190750/1194501783486222337/1197404489058103368. 
3. Thursday 18th https://discord.com/channels/1059089071932190750/1194501783486222337/1197722458426454036 very frustrating price action on this day. Indexes changed directions 4 times, but looking at the daily candle, it was trying to take out recent highs with next target being ATH. TSM reported great earnings for an EP and lit a spark in the market. Tried ARM for sympathy breakout stopped. Also stopped STNE and implemented>20bill MC rule. I made some big mistakes trying to catch MARA MR long by having the wrong stock selection (MSTR/COIN were stronger for long) leading to overtrading/revenge trading. things I did well were identifying that next day was big opportunity and the importance of bouncing back.","",""
"472133643708530689","dolivent","2024-01-21T13:54:52.4100000+08:00","4. Friday 19th https://discord.com/channels/1059089071932190750/1194501783486222337/1198483147394912456. low breadth day with money going into large caps but well prepared due to reviews in previous days. SMCI EP was should have been high on radar on pre earnings. There were many signs in Semi strength prior to this (NVDA breaking out, AMD going up alot, TMC, ARM closing strong). At the least, SMCI was worth large risk on even if it failed.","",""
"472133643708530689","dolivent","2024-01-21T14:05:46.7110000+08:00","It was a tricky week but in hindsight, there were signs to learn and apply for the next time round. Tuesday/Wednesday was the 3rd day of a 3 day pullback (economic numbers didn't seem to play a role last week).  It would have been ok to take undercut and raly setups, and the feedback would tell you if we are still in a bull market or not. 
The best opportunities were:
- RMBS TSLA AMD
- XPEV DKNG
- SAVE ARM
- SMCI CRDO VRT FSLY CVNA","",""
"472133643708530689","dolivent","2024-01-21T14:12:47.3890000+08:00","**Major lessons:**
- Sean Ryans interview made me realise how little we need to do to make stellar gains (577 trades in 47 stocks for a 150% return)
- I made 4 atempts at MARA M/R trade off 50 which resulted in a 2% loss. That exceeds my 1% max loss per ticker. Need to enforce this more. Also, coincided with a day i was on medication that increased anxiety and lack of sleep. This is a classic blueprint for ""blow up days"" that I have. 
- Here are rules i implemented in the last mini blow up https://discord.com/channels/1059089071932190750/1184387788536303626/1184395704332988486. Summary of past mini blow ups https://discord.com/channels/1059089071932190750/1184387788536303626/1187238289325969519. I implemented the no trade rule for Wed 18/01/2024 but was *easy* as it matched my SA. Underestimated compound effect of stress over multile days.
- I think I have acquired the skill of bouncing back after bad beats now. Still feels like death but it is good to know.","",""
